key,version,display_name,PRICING,license_key,license_version,Shown on Market,id,description,MD comment
,,,,MODEL_GAPCV1,V1.0,,82,SPEAG Generic Ankle Phantom CTIA V1.0,
,,,,MODEL_GFPCV1,V1.0,,77,SPEAG Generic Forearm Phantom CTIA V1.0,
,,,,MODEL_HEADV1_P10,V1.0,,75,SPEAG Head Phantom for POPEYE-10 EA2,
,,,,MODEL_HEADV1_P10,V1.0,,85,SPEAG POPEYE10 Whole-body Phantom,
,,,,MODEL_SEMSHO_RB,V1.0,,76,SPEAG Posable Hand Phantom for Brick Phones - Right,
,,,,MODEL_SEMSHO_RC,V1.0,,78,SPEAG Posable Hand Phantom for Clamshell Phones - Right,
,,,,MODEL_SEMSHO_RD,V1.0,,80,SPEAG Posable Hand Phantom for Data Mode - Right,
,,,,MODEL_SEMSHO_RD,V1.0,,81,SPEAG Posable Flat Hand Phantom - Right,
,,,,MODEL_SEMSHO_RP,V1.0,,79,SPEAG Posable Hand Phantom for PDA Phones - Right,
MODEL_IX_HEAD,1.0.0,IXI Head,Head bundle,MODEL_IXI025_HEAD,V1.0,ok - bundle,167,IXI Head 025 V1.2,
MODEL_IX_HEAD,1.0.0,IXI Head,Head bundle,MODEL_IXI208_HEAD,V1.0,ok - bundle,168,IXI Head 208 V1.1,
MODEL_IX_HEAD,1.0.0,IXI Head,Head bundle,MODEL_IXI317_HEAD,V1.0,ok - bundle,169,IXI Head 317 V1.0,
MODEL_IX_HEAD,1.0.0,IXI Head,Head bundle,MODEL_IXI379_HEAD,V1.0,ok - bundle,170,IXI Head 379 V1.0,
MODEL_ELLA_MORPHED_BMI22_H163,3.1.0,Morphed Ella V3.1 (non-standard),Morphed V3 (*),MODEL_ELLA_MORPHED_BMI22_H163,V3.1,ok,107,Virtual Population Model - Ella ViP3.1.1 with non-standard reference posture,
MODEL_ELLA_MORPHED_BMI26_H163,3.1.0,Morphed Ella V3.1 (BMI 26),Morphed V3 (*),MODEL_ELLA_MORPHED_BMI26_H163,V3.1,ok,103,Virtual Population Model - Morphed Ella ViP3.1 (BMI 26),
MODEL_ELLA_MORPHED_BMI30_H163,3.1.0,Morphed Ella V3.1 (BMI 30),Morphed V3 (*),MODEL_ELLA_MORPHED_BMI30_H163,V3.1,ok,104,Virtual Population Model - Morphed Ella ViP3.1 (BMI 30),
MODEL_ELLA_MORPHED_BMI63_H163,3.1.0,Morphed Ella V3.1 (BMI 63),Morphed V3 (*),MODEL_ELLA_MORPHED_BMI63_H163,V3.1,ok,157,Virtual Population Model - Morphed Ella ViP3.1 (BMI 63),
