licensed_resource_id,id,datum
22ddb9a3-b491-4e3f-91df-f3e1f87ad313,6,2014-08-01
7340089a-4145-4904-bd80-fa150fa0385d,7,2012-03-01
3db538fb-2b61-434a-862c-6aa597f11ec2,8,2012-03-01
fde3d92a-718c-4e3c-b822-13d7b0528a54,9,2012-03-01
79dd468c-1437-4ab4-b4e0-d436faee6d86,10,2012-03-01
4af72072-949e-4b96-972a-36bbb9dbc530,11,2012-03-01
7be29705-9d88-4fd7-938c-6166460c8619,12,2012-03-01
1cfbcc8c-3828-466c-bcb2-d71a1a379ba3,13,2012-03-01
2ccc3a23-c878-42e6-8fdb-9e809b651204,14,2012-03-01
b8c479de-3198-4d0e-a36a-4b06b68d30c3,15,2012-03-01
"072b5af2-0a1d-4a20-a53e-b27e10c4323b",16,2012-03-01
f658e01d-92ce-4ed9-885d-d46366ede0ea,17,2012-03-01
bbefa054-0167-42d1-9688-cd8fdaa1194d,18,2012-03-01
c668f222-1cbc-41cc-8b17-a5c9ef0224c1,19,2012-03-01
24d24e71-0f17-4de4-bcbc-24ee0c9848c4,20,2012-03-01
16194db0-858a-49ce-bcbc-7233a19baa9c,21,2012-01-01
5a883789-6310-4c59-827f-b47569994b14,22,2012-01-01
b1fd604f-88f6-4d61-9f34-76839a617fb8,23,2012-01-01
67fd3151-a68f-416b-adb4-8f8173f4add8,24,2012-01-01
317d381d-4717-4d5d-8882-0e62bd0a4a98,25,2012-01-01
cc38eb50-0b7a-4367-ba49-f4f34fb94b8b,26,2012-01-01 
43f07a4a-83e7-4029-8ec5-c408ba3c0a20,27,2012-01-01
a6f4b904-9599-497c-b90f-7a67c81c1a77,28,2012-01-01
c55f9555-0df3-4a89-8efc-3714a9f37768,29,2012-01-01
e629a4e3-6923-42dd-9b87-0ab35719409d,30,2012-01-01
"0a0ab5b5-0f32-4494-830e-a8cdd19ff723",33,2016-07-06
d9107753-bbd9-47cf-b8d9-bf56223ff77f,36,2014-08-01
beaf428a-4e53-41e2-8604-eea513c93499,38,2015-05-15
81075c32-0454-44e4-b41f-f07b23a2e8de,44,2014-08-01
e6405067-03a9-4648-8f03-79aa0946d764,46,2015-05-15
83a628df-6bae-48d1-912a-3642844f5e94,47,2016-07-06
9704d947-c38c-4043-89c2-b5af4bbb8513,50,2015-05-15
66fa0f19-434d-4a62-941a-082561a846b8,51,2016-07-06
15eaff83-d48c-49b3-b378-aba1b24d3771,52,2014-08-01
"024473b2-2ad7-465b-9c62-0c87b86661c9",54,2015-05-15
"018ad4ac-8cc4-4ea5-b6c1-ce9f336ce239",55,2016-07-06
3340328e-30f1-43ba-a936-a1baa588bccc,56,2014-08-01
333d97c8-a469-47b6-868a-8ba7518bc31d,59,2016-07-06
d2998ccd-d269-4dab-87a3-f195f26d81a3,60,2014-08-01
d83e6f12-eaae-47f0-89db-f0fac983e761,63,2016-07-06
e1fcfaab-8588-4721-8b8b-47a91a3a2670,64,2014-08-01
d4d4d114-a90e-40de-8efc-48ab2b7d453e,67,2016-07-06
b485e493-51c0-4c8a-9ed8-25ec6b379aca,68,2014-08-01
36dc6e4e-3d47-4a0c-a1fc-0a0a935ccbd1,71,2016-07-06
47f0f198-9c8e-409c-8040-de828b71b7d9,72,2014-08-01
13af7ffd-1149-47f6-8c29-478bc84aacb8,74,2014-08-01
fc815e2f-f7a2-445f-87f3-8e144cb2fd2e,75,2024-11-05
f725e2fd-6eb8-43ef-a88a-f179db90b193,76,2024-11-05
54590c7b-3b63-4aab-b3c3-602865c916ff,77,2024-11-05
132808c9-c545-404c-b636-e9948dc82e66,78,2024-11-05
995f4ea5-62bf-49ac-b820-a55d85de996c,79,2024-11-05
15e70bfc-8a93-446f-af3f-5593953c4fd3,80,2024-11-05
8cef1b53-3a62-447f-889a-3778f51c4853,81,2024-11-05
3503748e-97e3-4f53-9208-8533855f8d93,82,2024-11-05
a688fc13-014d-45a0-bf18-ced15be16e08,82,2016-06-14
dc6213a0-1d30-45d9-a4be-8aa229fb014e,83,2015-12-07
f837eba3-fed4-4b15-a27a-4ae41f329266,85,2025-02-07
813bac8c-a5a9-484c-a42d-c92d3b33c47c,91,2016-07-06
74db7102-9638-47de-b73c-cc3079a83e15,97,2016-09-21
"0ec0c9f1-6732-4c12-bbd6-2b7b8af7dd24",103,2017-10-10
eeb676c2-cd74-459a-a09f-efb3615e7c2c,104,2017-10-10
4c227d82-6bd6-4e96-a5ed-292b68722b63,105,2017-10-10
1052286f-1c40-48a0-a896-e93ee094dbed,106,2017-10-10
1271490a-aedb-493e-bb1c-1aa20a1dd954,107,2020-10-12
352dca05-503b-4058-bbaa-bcbc2640911f,111,2018-01-22
ebc448d5-f65e-4c03-955d-9c7ff9757464,113,2019-03-19
bc631622-2b5c-44f8-856b-359a86b9b735,114,2018-06-27
dc0c53df-c56d-445c-a7fc-f1b88cf2500e,115,2018-07-31
f3875212-f23c-445b-9dc7-93a2f6a24bdf,116,2018-08-21
442f86d6-a454-4d7e-a634-8ae2120a73de,118,2018-12-21
7386be01-270c-4153-b5ce-9fd81ec5af5d,119,2019-06-27
577de600-90dd-4732-9d0e-0f3e2df55a94,121,2020-08-20
252be570-6598-4be3-b450-92a712dba637,123,2016-07-06
540dc464-e046-4f32-b925-70f540733d86,124,2020-10-20
"0a2d39a5-4172-4c50-a482-2487893428df",125,2020-10-20
ab153ac1-d106-4c16-8e28-81506e32b375,126,2020-10-20
b826c935-5d11-4018-bd23-5a36a69e98ff,127,2020-10-20
83d82d22-6f2d-4f32-bd2d-00e707f38414,128,2020-10-20
6f0199be-1170-4e3c-af97-c7c453e10c55,129,2020-10-20
4f21b002-28c2-4a4b-be2f-0b7517e3b36f,130,2020-10-20
73dfd161-7945-4c84-9305-1fd868360dd0,131,2020-10-20
bf4b8ad6-1162-4a12-9e24-a171263e3db8,132,2020-10-20
fbf3f2fb-d955-46b5-af94-331585fd9a6b,133,2020-10-20
259b4f36-2f25-45df-a353-25063a0ba035,134,2020-10-20
"006cca99-c502-48cf-bd84-c9b81f818958",136,2021-02-16
ac967eb3-c244-4dff-b895-5fc35397400a,138,2021-03-16
8d8a1bde-925f-4fb5-a1b8-75ee285615f9,139,2021-03-16
ceaf9c32-9d56-42c9-b9bc-a2b73e204865,140,2021-03-16
5bbbaaf6-4fe5-45fd-92dd-cce11f8e2911,141,2021-03-16
9af1e924-dae0-4c0b-bd9e-a9ed8743378c,142,2022-02-01
7f48d0d9-c131-4129-b9c7-15384a47a61d,143,2022-05-30
c054c5f9-79fe-4cfc-814e-c852b0a34a4e,144,2022-06-02
3c28ae7c-6da7-453f-b689-30ee76260e64,145,2022-06-02
ca9f90d0-9230-49f8-a860-6531072b6213,146,2022-06-02
e4086e55-c2b3-45f4-b45a-2727ca0fa62a,147,2022-06-02
a2bed8fc-7c9f-41b3-9e28-9c78b274cad1,148,2022-06-02
58c9fe79-695d-4fe2-82cc-7d6f7548b99e,149,2022-06-02
beff40e3-8167-4511-8fe0-21268a5848aa,150,2022-06-02
5a3c5866-4e31-43e9-bd89-67796c2c3bdc,151,2022-06-02
536b6866-39a9-47a9-9a9e-3ab77f14dd28,152,2022-06-02
"02a971d0-d538-4eb0-aa0a-dd7271c19419",153,2022-06-02
9e5a5abd-4fec-4313-af5b-da25d7776ae0,154,2022-06-02
336f7177-7025-40d0-b65b-5c0d3327cb1c,155,2022-06-02
39516f2f-69df-44ed-b5b6-23ff8725cbbb,157,2023-01-31
2a975aee-67bb-4e18-a523-a4f24b781d76,158,2023-01-31
d5139a15-0524-46e2-8edc-b76466438fe4,159,2023-01-31
6082f699-1eac-4f8b-b81e-a0296bd5d4da,164,2023-07-01
477fc507-6e00-4ca8-9b60-6f9c2ab6fe8d,165,2024-04-24
8ecec227-befc-4dc1-a535-413fe4bede23,167,2024-06-18
d2512415-d506-41c5-a80e-e8de6503ee58,168,2024-06-18
142f675f-60d8-4a4a-b185-e95d3891f2cb,169,2024-06-18
2f23c353-2125-4012-8483-c16e0599df01,170,2024-06-18
